SAP,BFM,DESCRIPTION,TOOL ID,LOCATION,PRIORITY,PM QTY,REVIEWED,Time of Completion
96007087,20243091,DRILL TEMPLATE FOR STRAP FR30,C01302000-DJIG01,LCS001 TOP,3,1,,
96007176,20243180,DRILL TEMPLATE FOR STRAP FR61,C01303000-DJIG10,LCS001 TOP,3,1,,
96007175,20243179,DRILL TEMPLATE FOR STRAP FR61,C01303000-DJIG09,LCS001 TOP,3,1,,
96007227,20243231,DRILL TEMPLATE FOR STRINGER SPLICE FR61,C01303000-DJIG61,LCS001 TOP,3,1,,
96007228,20243232,DRILL TEMPLATE FOR STRINGER SPLICE FR61,C01303000-DJIG62,LCS001 TOP,3,1,,
96007229,20243233,DRILL TEMPLATE FOR STRINGER SPLICE FR61,C01303000-DJIG63,LCS001 TOP,3,1,,
96007230,20243234,DRILL TEMPLATE FOR STRINGER SPLICE FR61,C01303000-DJIG64,LCS001 TOP,3,1,,
96007224,20243228,DRILL TEMPLATE FOR STRINGER SPLICE FR61,C01303000-DJIG58,LCS001 TOP,3,1,,
96007232,20243236,DRILL TEMPLATE FOR STRINGER SPLICE FR61,C01303000-DJIG66,LCS001 TOP,3,1,,
96007225,20243229,DRILL TEMPLATE FOR STRINGER SPLICE FR61,C01303000-DJIG59,LCS001 TOP,3,1,,
96007226,20243230,DRILL TEMPLATE FOR STRINGER SPLICE FR61,C01303000-DJIG60,LCS001 TOP,3,1,,
96007231,20243235,DRILL TEMPLATE FOR STRINGER SPLICE FR61,C01303000-DJIG65,LCS001 TOP,3,1,,
96007223,20243227,DRILL TEMPLATE FOR STRINGER SPLICE FR61,C01303000-DJIG57,LCS001 TOP,3,1,,
96007173,20243177,DRILL TEMPLATE FOR STRAP FR61,C01303000-DJIG07,LCS001 TOP,3,1,,
96007174,20243178,DRILL TEMPLATE FOR STRAP FR61,C01303000-DJIG08,LCS001 TOP,3,1,,
